DATE;INDPRO_PCH;WILL5000PR_PCH;HSN1F_PCH;DCOILBRENTEU_PCH;CORESTICKM159SFRBATL_PCH;TOTALSA_PCH;CPIUFDSL_PCH;DEXJPUS_PCH;MICH_PCH;VIXCLS_PCH;PAYEMS_PCH;PPIACO_PCH
1996-06-01;0.75306;0.47352;-3.35121;-3.64537;0.13165;-4.60827;0.65833;2.46161;-6.45161;1.53989;0.23517;-0.07806
1996-07-01;-0.00332;-4.69276;6.79612;6.03782;1.16774;-1.19297;0.32701;0.21192;3.44828;9.65926;0.20539;0.00000
1996-08-01;0.50600;2.61321;7.27273;4.81078;-0.12788;2.73318;0.32595;-1.21347;3.33333;-12.33788;0.15415;0.23438
1996-09-01;0.62516;2.24124;-6.77966;10.32594;-0.66104;0.30996;0.45484;1.91450;3.22581;5.18732;0.16722;-0.07794
1996-10-01;-0.01456;3.47309;-6.49351;6.77022;-3.89634;-1.45487;0.58215;2.25712;-6.25000;-1.18386;0.21677;-0.15601
1996-11-01;0.88534;3.63917;7.08333;-5.80684;1.24497;2.63914;0.38585;-0.10362;0.00000;-2.34859;0.23702;0.15625
1996-12-01;0.62293;1.16448;4.40986;4.49691;2.55106;-3.36685;0.12812;1.50065;0.00000;20.40353;0.16205;0.70203
1997-01-01;0.18185;3.14756;3.10559;-1.03175;-4.71161;3.28657;-0.25592;3.44920;0.00000;1.10265;0.17995;0.46476
1997-02-01;1.17502;3.10258;-3.49398;-11.41616;-3.77523;-2.62084;0.38486;4.28261;0.00000;3.42078;0.25708;-0.92521
1997-03-01;0.64011;-1.24177;3.74532;-8.23733;1.86062;3.56886;0.06390;-0.15313;-6.66667;0.15157;0.25806;-0.93385
1997-04-01;0.08337;-4.04748;-10.46931;-8.24278;1.97268;-4.79262;-0.06386;2.33268;7.14286;-2.51724;0.24183;-0.23566
1997-05-01;0.56803;8.47332;2.15054;8.35586;-1.39878;0.19923;0.06390;-5.13010;-3.33333;1.33499;0.21834;0.31496
1997-06-01;0.45782;5.50556;4.34211;-7.58486;-1.45486;-3.73807;0.19157;-4.11659;-3.44828;1.35271;0.21624;-0.15699
1997-07-01;0.84606;5.58014;1.51324;5.03129;-2.69428;7.18810;0.19120;0.95392;-3.57143;1.65792;0.24101;-0.23585
1997-08-01;1.00174;1.05392;1.24224;0.70947;-3.58139;3.72559;0.31807;2.21330;0.00000;12.44902;-0.01625;0.23641
1997-09-01;0.92488;2.25184;3.06748;-0.72355;-4.10249;-6.51474;0.19023;2.51038;3.70370;3.15195;0.39401;0.23585
1997-10-01;0.88703;1.84406;-4.76190;7.60668;2.91168;2.21913;0.18987;0.14100;0.00000;0.24562;0.27999;0.23529
1997-11-01;0.80516;-1.93041;8.00000;-3.47848;-2.68509;2.55330;0.18951;3.56947;3.57143;34.91805;0.24773;0.07825
1997-12-01;0.42010;1.77954;-8.21759;-10.39055;2.86257;4.10111;0.06305;3.47134;-3.44828;-18.41187;0.25839;-0.86005
1998-01-01;0.45714;-0.05799;9.96217;-11.61244;1.96993;-10.22824;0.50410;-0.14383;-17.85714;-9.17122;0.21036;-1.10410
1998-02-01;0.16539;6.19839;-0.68807;-7.35623;0.68737;2.99547;-0.06270;-2.85295;4.34783;-16.20494;0.16425;-0.31898
1998-03-01;0.04365;5.10861;-3.46420;-6.86818;-0.71514;1.13577;0.18821;2.56707;4.16667;0.79849;0.11678;-0.24000
1998-04-01;0.33756;3.30839;3.58852;3.23065;-1.19022;3.36254;0.00000;2.06950;-4.00000;9.27610;0.22451;0.16038
1998-05-01;0.65890;-0.71581;2.42494;6.18532;-1.10456;7.12177;0.37570;2.38503;8.33333;-5.24125;0.31966;0.16013
1998-06-01;-0.59049;-1.03429;4.05862;-15.01616;-0.42613;-1.67673;-0.06238;4.02863;3.84615;3.77852;0.18356;-0.23981
1998-07-01;-0.39690;3.89705;-5.09209;-1.03879;0.12043;-12.53950;0.24969;0.32561;-3.70370;-7.99866;0.10470;0.08013
1998-08-01;2.06272;-8.01866;-3.42466;-1.37062;1.17719;0.87265;0.24907;2.76488;-7.69231;58.49521;0.26781;-0.56045
1998-09-01;-0.10466;-6.15252;2.12766;11.99963;-1.50966;10.25277;0.06211;-7.04971;-4.16667;20.94671;0.15646;-0.32206
1998-10-01;0.70028;0.34731;3.35648;-4.80651;-2.28052;5.01441;0.55866;-9.98800;8.69565;-4.17901;0.16174;0.16155
1998-11-01;-0.09850;11.74520;11.42217;-13.09392;-0.45264;-5.91326;0.12346;-0.62710;-8.00000;-28.36847;0.21662;-0.32258
