"","H","period","YEAR","QUARTER","ID","INDUSTRY","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","bin10","bin11","nbin_tot","openL","openR","n.b.mode","prob.mode","mode","mean","var","median"
"3908",1,0,1992,2,414,1,0,0,0,0.05,0.5,0.4,0.05,0,0,0,NA,0.4,0,0,1,0.5,2.5,2.05,0.530833333333332,2.1
"3909",1,0,1992,2,416,2,0,0,0,0.15,0.55,0.2,0.1,0,0,0,NA,0.4,0,0,1,0.55,2.5,2.25,0.770833333333334,2.36363636363636
"3910",1,0,1992,2,418,1,0,0,0,0,0.15,0.75,0.1,0,0,0,NA,0.3,0,0,1,0.75,1.5,1.55,0.330833333333333,1.53333333333333
"3911",1,0,1992,2,421,1,0,0,0,0.25,0.4,0.3,0.05,0,0,0,NA,0.4,0,0,1,0.4,2.5,2.35,0.810833333333333,2.375
"3912",1,0,1992,2,422,1,0,0,0.2,0.45,0.15,0.1,0.05,0.05,0,0,NA,0.6,0,0,1,0.45,3.5,3,1.83333333333333,3.33333333333333
"3913",1,0,1992,2,423,2,0.01,0.01,0.02,0.1,0.3,0.3,0.2,0.06,0,0,NA,0.8,1,0,2,0.3,2,1.83,1.70443333333333,1.8
"3914",1,0,1992,2,424,1,0,0,0.05,0.25,0.6,0.1,0,0,0,0,NA,0.4,0,0,1,0.6,2.5,2.75,0.570833333333333,2.66666666666667
"3915",1,0,1992,2,426,1,0,0,0,0.05,0.15,0.65,0.1,0.05,0,0,NA,0.5,0,0,1,0.65,1.5,1.55,0.730833333333333,1.53846153846154
"3916",1,0,1992,2,427,1,0.01,0.04,0.05,0.15,0.3,0.2,0.15,0.05,0.04,0.01,NA,1,1,1,1,0.3,2.5,2.04,2.9984,2.16666666666667
"3917",1,0,1992,2,428,2,0,0,0,0.1,0.5,0.3,0.1,0,0,0,NA,0.4,0,0,1,0.5,2.5,2.1,0.723333333333335,2.2
"3919",1,0,1992,2,430,2,0,0.05,0.1,0.2,0.35,0.25,0.05,0,0,0,NA,0.6,0,0,1,0.35,2.5,2.7,1.54333333333333,2.57142857142857
"3920",1,0,1992,2,431,1,0,0.01,0.04,0.1,0.2,0.4,0.12,0.08,0.05,0,NA,0.8,0,0,1,0.4,1.5,1.63,2.07643333333333,1.625
"3921",1,0,1992,2,432,1,0,0,0,0,0.1,0.6,0.3,0,0,0,NA,0.3,0,0,1,0.6,1.5,1.3,0.443333333333334,1.33333333333333
"3922",1,0,1992,2,433,2,0,0,0,0.1,0.7,0.2,0,0,0,0,NA,0.3,0,0,1,0.7,2.5,2.4,0.373333333333331,2.42857142857143
"3923",1,0,1992,2,434,1,0,0,0.05,0.15,0.5,0.2,0.1,0,0,0,NA,0.5,0,0,1,0.5,2.5,2.35,1.01083333333334,2.4
"3924",1,0,1992,2,435,2,0,0,0,0.05,0.2,0.6,0.1,0.05,0,0,NA,0.5,0,0,1,0.6,1.5,1.6,0.773333333333333,1.58333333333333
"3925",1,0,1992,2,437,1,0,0.02,0.08,0.15,0.5,0.15,0.08,0.02,0,0,NA,0.7,0,0,1,0.5,2.5,2.5,1.38333333333333,2.5
"3926",1,0,1992,2,438,1,0,0,0.05,0.1,0.1,0.6,0.15,0,0,0,NA,0.5,0,0,1,0.6,1.5,1.8,1.09333333333333,1.58333333333333
"3927",1,0,1992,2,439,2,0,0,0.1,0.25,0.5,0.15,0,0,0,0,NA,0.4,0,0,1,0.5,2.5,2.8,0.793333333333331,2.7
"3928",1,0,1992,2,440,1,0,0,0.15,0.3,0.3,0.15,0.1,0,0,0,NA,0.5,0,0,2,0.3,3,2.75,1.47083333333333,2.83333333333333
"3929",1,0,1992,3,20,2,0,0,0,0.1,0.5,0.4,0,0,0,0,NA,0.3,0,0,1,0.5,2.5,2.2,0.493333333333333,2.2
"3930",1,0,1992,3,30,3,0,0,0,0,0.1,0.8,0.1,0,0,0,NA,0.3,0,0,1,0.8,1.5,1.5,0.283333333333332,1.5
"3931",1,0,1992,3,60,2,0,0,0,0,0.1,0.85,0.05,0,0,0,NA,0.3,0,0,1,0.85,1.5,1.55,0.230833333333334,1.52941176470588
"3932",1,0,1992,3,62,2,0,0,0,0,0.45,0.55,0,0,0,0,NA,0.2,0,0,1,0.55,1.5,1.95,0.330833333333333,1.90909090909091
"3934",1,0,1992,3,84,1,0,0,0,0,0.03,0.97,0,0,0,0,NA,0.2,0,0,1,0.97,1.5,1.53,0.112433333333333,1.51546391752577
"3935",1,0,1992,3,94,1,0,0,0,0.05,0.15,0.4,0.3,0.1,0,0,NA,0.5,0,0,1,0.4,1.5,1.25,1.07083333333333,1.25
"3936",1,0,1992,3,404,2,0,0,0,0,0.35,0.6,0.05,0,0,0,NA,0.3,0,0,1,0.6,1.5,1.8,0.393333333333334,1.75
"3937",1,0,1992,3,405,1,0,0,0,0.1,0.6,0.25,0.05,0,0,0,NA,0.4,0,0,1,0.6,2.5,2.25,0.570833333333333,2.33333333333333
"3938",1,0,1992,3,406,1,0,0,0,0.05,0.35,0.55,0.05,0,0,0,NA,0.4,0,0,1,0.55,1.5,1.9,0.523333333333333,1.81818181818182
"3939",1,0,1992,3,407,1,0,0,0,0,0.4,0.6,0,0,0,0,NA,0.2,0,0,1,0.6,1.5,1.9,0.323333333333334,1.83333333333333
"3940",1,0,1992,3,408,1,0,0,0,0,0.25,0.6,0.15,0,0,0,NA,0.3,0,0,1,0.6,1.5,1.6,0.473333333333334,1.58333333333333
"3941",1,0,1992,3,409,1,0,0,0,0,0.5,0.4,0.1,0,0,0,NA,0.3,0,0,1,0.5,2.5,1.9,0.523333333333333,2
"3942",1,0,1992,3,410,2,0,0,0.02,0.1,0.3,0.5,0.05,0.02,0.01,0,NA,0.7,0,0,1,0.5,1.5,1.94,0.989733333333334,1.84
"3943",1,0,1992,3,411,2,0,0,0,0.02,0.52,0.44,0.02,0,0,0,NA,0.4,0,0,1,0.52,2.5,2.04,0.411733333333333,2.07692307692308
"3944",1,0,1992,3,412,2,0,0,0,0.05,0.35,0.45,0.1,0.05,0,0,NA,0.5,0,0,1,0.45,1.5,1.75,0.870833333333332,1.77777777777778
"3945",1,0,1992,3,413,2,0,0,0,0,0.5,0.5,0,0,0,0,NA,0.2,0,0,2,0.5,2,2,0.333333333333333,2
"3946",1,0,1992,3,414,1,0,0,0,0,0.05,0.95,0,0,0,0,NA,0.2,0,0,1,0.95,1.5,1.55,0.130833333333334,1.52631578947368
"3947",1,0,1992,3,415,1,0,0,0,0,0.15,0.8,0.05,0,0,0,NA,0.3,0,0,1,0.8,1.5,1.6,0.273333333333333,1.5625
"3948",1,0,1992,3,416,2,0,0,0,0,0.15,0.65,0.2,0,0,0,NA,0.3,0,0,1,0.65,1.5,1.45,0.430833333333333,1.46153846153846
"3949",1,0,1992,3,418,1,0,0,0,0,0.15,0.7,0.15,0,0,0,NA,0.3,0,0,1,0.7,1.5,1.5,0.383333333333333,1.5
"3950",1,0,1992,3,420,1,0,0,0,0.15,0.65,0.15,0.05,0,0,0,NA,0.4,0,0,1,0.65,2.5,2.4,0.573333333333333,2.46153846153846
"3951",1,0,1992,3,421,1,0,0,0,0.02,0.28,0.6,0.1,0,0,0,NA,0.4,0,0,1,0.6,1.5,1.72,0.494933333333333,1.66666666666667
"3952",1,0,1992,3,423,2,0.0100006000360022,0.026000560033602,0.0710032601956117,0.14000840050403,0.203996239774386,0.217982078924736,0.172002320139208,0.0990049402964178,0.0430005800348021,0.0170010200612037,NA,1,1,1,1,0.217982078924736,1.5,1.76700902054123,3.47250947781397,1.7752524441549
"3953",1,0,1992,3,424,1,0,0,0,0,0.25,0.6,0.15,0,0,0,NA,0.3,0,0,1,0.6,1.5,1.6,0.473333333333334,1.58333333333333
"3954",1,0,1992,3,426,1,0,0,0,0.05,0.05,0.65,0.15,0.05,0.05,0,NA,0.6,0,0,1,0.65,1.5,1.25,1.07083333333333,1.38461538461538
"3955",1,0,1992,3,427,1,0,0,0.05,0.1,0.35,0.35,0.1,0.05,0,0,NA,0.6,0,0,2,0.35,2,2,1.33333333333333,2
"3956",1,0,1992,3,428,2,0,0,0,0,0.3,0.6,0.1,0,0,0,NA,0.3,0,0,1,0.6,1.5,1.7,0.443333333333333,1.66666666666667
"3958",1,0,1992,3,430,2,0,0,0,0,0.25,0.7,0.05,0,0,0,NA,0.3,0,0,1,0.7,1.5,1.7,0.343333333333334,1.64285714285714
"3959",1,0,1992,3,431,1,0,0,0,0.05,0.35,0.4,0.15,0.05,0,0,NA,0.5,0,0,1,0.4,1.5,1.7,0.943333333333332,1.75
"3960",1,0,1992,3,432,1,0,0,0,0,0.15,0.8,0.05,0,0,0,NA,0.3,0,0,1,0.8,1.5,1.6,0.273333333333333,1.5625
"3961",1,0,1992,3,433,2,0,0,0,0,0.3,0.7,0,0,0,0,NA,0.2,0,0,1,0.7,1.5,1.8,0.293333333333334,1.71428571428571
"3962",1,0,1992,3,434,1,0,0,0,0,0.15,0.75,0.1,0,0,0,NA,0.3,0,0,1,0.75,1.5,1.55,0.330833333333333,1.53333333333333
"3963",1,0,1992,3,439,2,0,0.05,0.1,0.4,0.3,0.1,0.05,0,0,0,NA,0.6,0,0,1,0.4,3.5,3.05,1.33083333333334,3.125
"3964",1,0,1992,3,440,1,0,0,0,0,0.05,0.25,0.4,0.25,0.05,0,NA,0.5,0,0,1,0.4,0.5,0.5,0.983333333333333,0.5
"3965",1,0,1992,4,20,2,0,0,0,0,0.1,0.6,0.3,0,0,0,NA,0.3,0,0,1,0.6,1.5,1.3,0.443333333333334,1.33333333333333
"3966",1,0,1992,4,30,3,0,0,0,0,0,0.25,0.75,0,0,0,NA,0.2,0,0,1,0.75,0.5,0.75,0.270833333333333,0.666666666666667
"3967",1,0,1992,4,40,2,0,0,0,0,0,1,0,0,0,0,NA,0.1,0,0,1,1,1.5,1.5,0.0833333333333335,1.5
"3968",1,0,1992,4,60,2,0,0,0,0,0.01,0.99,0,0,0,0,NA,0.2,0,0,1,0.99,1.5,1.51,0.0932333333333339,1.50505050505051
"3969",1,0,1992,4,62,2,0,0,0,0,0.05,0.95,0,0,0,0,NA,0.2,0,0,1,0.95,1.5,1.55,0.130833333333334,1.52631578947368
"3971",1,0,1992,4,84,1,0,0,0,0,0.35,0.65,0,0,0,0,NA,0.2,0,0,1,0.65,1.5,1.85,0.310833333333333,1.76923076923077
"3972",1,0,1992,4,94,1,0,0,0,0.05,0.2,0.4,0.3,0.05,0,0,NA,0.5,0,0,1,0.4,1.5,1.4,0.973333333333333,1.375
"3973",1,0,1992,4,99,1,0,0,0,0,0.1,0.9,0,0,0,0,NA,0.2,0,0,1,0.9,1.5,1.6,0.173333333333333,1.55555555555556
"3974",1,0,1992,4,404,2,0,0,0,0,0.1,0.9,0,0,0,0,NA,0.2,0,0,1,0.9,1.5,1.6,0.173333333333333,1.55555555555556
"3975",1,0,1992,4,405,1,0,0,0,0.1,0.8,0.1,0,0,0,0,NA,0.3,0,0,1,0.8,2.5,2.5,0.283333333333333,2.5
"3976",1,0,1992,4,407,1,0,0,0,0,0.4,0.6,0,0,0,0,NA,0.2,0,0,1,0.6,1.5,1.9,0.323333333333334,1.83333333333333
"3977",1,0,1992,4,408,1,0,0,0,0.05,0.6,0.35,0,0,0,0,NA,0.3,0,0,1,0.6,2.5,2.2,0.393333333333332,2.25
"3978",1,0,1992,4,409,1,0,0,0,0,0.1,0.9,0,0,0,0,NA,0.2,0,0,1,0.9,1.5,1.6,0.173333333333333,1.55555555555556
"3979",1,0,1992,4,411,2,0,0,0,0.05,0.45,0.45,0.05,0,0,0,NA,0.4,0,0,2,0.45,2,2,0.533333333333333,2
"3980",1,0,1992,4,412,2,0,0,0,0,0.3,0.7,0,0,0,0,NA,0.2,0,0,1,0.7,1.5,1.8,0.293333333333334,1.71428571428571
